No. crt.,SPAM_short_name,SPAM_long_name,FAONAMES,FAOCODE,GROUP,water_m3_tonne,observed_min,observed_max,green_paper,blue_paper,sum_paper,observed_mean_pe,observed_mean_mel,percent_diff
1,whea,wheat,wheat,15,cereals,1600,331.9999886,26354.99972,1277,342,1619,2014,,0.243897863
2,rice,rice,rice,27,cereals,1600,501.9999562,9213.000373,1146,341,1487,2316,,0.557719274
3,maiz,maize,maize,56,cereals,1600,83.9999954,21370.00199,947,81,1028,1950,,0.897094028
4,barl,barley,barley,44,cereals,1600,210.9999927,12016.00116,1213,79,1292,1804,,0.396124784
5,pmil,pearl millet,millet,79,cereals,1600,480.9999762,19127.00137,4306,57,4363,4975,,0.140362823
6,smil,small millet,millet,79,cereals,1600,720.9999373,17347.99994,4306,57,4363,3718,,-0.14780898
7,sorg,sorghum,sorghum,83,cereals,1600,327.9999906,14477.00086,2857,103,2960,3381,,0.142386211
8,ocer,other cereals,other cereals ++,"68, 71, 75, 89, 92, 94, 97, 101, 103, 108",cereals,1600,351.2499987,21035.16789,,,,2815,,
9,pota,potato,potato,116,roots&tubers or starchy roots,400,47.99999842,1927.00016,191,33,224,249,,0.11355851
10,swpo,sweet potato,sweet potato,122,roots&tubers or starchy roots,400,13.99999928,4740.000214,324,5,329,728,,1.214255841
11,yams,yams,yam,137,roots&tubers or starchy roots,400,20.99999887,1796.999981,341,0,341,446,,0.307520188
12,cass,cassava,cassava,125,roots&tubers or starchy roots,400,46.99999828,3685,550,0,550,634,,0.152940216
13,orts,other roots,yautia ++,"135, 136, 149",roots&tubers or starchy roots,400,29.83333156,3595.500383,,,,557,,
14,bean,bean,"beans, dry",176,pulses,4000,468.9999906,12368.00063,3945,125,4070,3074,,-0.244600678
15,chic,chickpea,chickpea,191,pulses,4000,52.99999872,10683.00091,2972,224,3196,2592,,-0.18905008
16,cowp,cowpea,cowpea,195,pulses,4000,416.0000089,23893.0024,6841,10,6851,5635,,-0.177447809
17,pige,pigeonpea,pigeon pea,197,pulses,4000,517.9999929,7885.000593,4739,72,4811,4611,,-0.041491143
18,lent,lentil,lentils,201,pulses,4000,1203.99995,24322.00131,4324,72,4396,4972,,0.131085803
19,opul,other pulses,broad beans ++,"181, 187, 203, 205, 210, 211",pulses,4000,140.8333254,16889.83252,,,,2416,,
20,soyb,soybean,soybean,236,oilcrops,2400,666.9999781,194006.0005,2037,70,2107,3002,,0.424641742
21,grou,groundnut,"groundnut, with shell",242,oilcrops,2400,421.9999731,14417.00119,2469,150,2619,3848,,0.469109129
22,cnut,coconut,coconut,249,oilcrops,2400,62.99999604,12555.00063,2669,2,2671,2238,,-0.162127057
23,oilp,oilpalm,palmoil,254,oilcrops,2400,335.9999831,6307.000132,1057,0,1057,1229,,0.162307327
24,sunf,sunflower,sunflower seed,267,oilcrops,2400,832.9999894,14031.0012,3017,148,3165,4081,,0.289568013
25,rape,rapeseed,rapeseed,"270, 292",oilcrops,2400,962.9999411,27644.00105,1703,231,1934,2966,,0.533637581
26,sesa,sesameseed,sesame seed,289,oilcrops,2400,396.9999797,41063.00309,8460,509,8969,8547,,-0.046998076
27,ooil,other oil crops,olives ++,"260 - 339, not 311 and the other oilcrops above",oilcrops,2400,1300.666547,70243.50413,,,,6661,,
28,sugc,sugarcane,sugar cane,156,sugar crops,200,62.99999674,1918.000112,139,57,196,245,,0.248749014
29,sugb,sugarbeet,sugarbeet,157,sugar crops,200,41.99999771,677.0000518,82,26,108,149,,0.375373198
30,cott,cotton,seed cotton,328,fibres,NA,1111.999892,16745.00124,2282,1306,3588,5189,,0.446343178
37,bana,banana,banana,486,fruits,1000,21.99999876,8492.000034,660,97,757,1142,,0.509099062
38,plnt,plantain,plantain,489,fruits,1000,107.9999946,7628.000577,1570,188,1758,1839,,0.04601586
39,trof,tropical fruit,oranges ++,"490 - 512, 567 - 591, 600 - 603",fruits,1000,26.33333189,13678.71536,1455,200,1655,962,,-0.418621292
40,temf,temperate fruit,apples ++,"515 - 560, 592, 619",fruits,1000,13.99999941,8161.667503,1199,201,1400,1270,,-0.0925054
41,vege,vegetables,cabbages and other brassicas ++,358 - 463,vegetables,300,10,3404.015429,205,33,238,470,,